Time(ms),Main(mA),Main Voltage(V),
1756273267758781,102.02299785121087,4.18925,
1756273267758782,94.28840234624542,4.18925,
1756273267758783,84.5894651257332,4.18975,
1756273267758783,86.43103548405831,4.1895,
1756273267758784,113.68627678726988,4.1857500000000005,
1756273267758784,159.97107845984087,4.18775,
1756273267758785,110.98530692839306,4.18975,
1756273267758786,103.2507114234276,4.19425,
1756273267758786,88.88646262849178,4.19275,
1756273267758787,73.78558569022591,4.1922500000000005,
1756273267758788,79.31029676520123,4.1895,
1756273267758788,96.49828677623556,4.18875,
1756273267758789,101.9002264939892,4.1915000000000004,
1756273267758789,93.67454556013706,4.1915000000000004,
1756273267758790,79.80138219408792,4.19,
1756273267758791,79.67861083686626,4.191,
1756273267758791,77.95981183576282,4.1922500000000005,
1756273267758792,78.69643997909286,4.19175,
1756273267758793,78.32812590742785,4.1925,
1756273267758794,78.69643997909286,4.1915000000000004,
1756273267784341,78.81921133631454,4.19175,
1756273267784344,77.83704047854114,4.19025,
1756273267784344,79.31029676520123,4.192,
1756273267784345,90.48249027237354,4.18975,
1756273267784345,95.88442999012719,4.19025,
1756273267784346,91.46466113014694,4.192,
1756273267784347,85.32609326906325,4.19175,
1756273267784347,72.68064347523085,4.19375,
1756273267784348,68.38364597247227,4.1935,
1756273267784348,75.7499274057727,4.1922500000000005,
1756273267784349,81.39740983796969,4.192,
1756273267784349,80.53801033741797,4.19175,
1756273267784350,80.04692490853127,4.1915000000000004,
1756273267784350,80.41523898019629,4.18875,
1756273267784351,80.53801033741797,4.1895,
1756273267784351,80.66078169463964,4.19,
1756273267784352,81.88849526685638,4.19075,
1756273267784352,95.14780184679714,4.1930000000000005,
1756273267784353,100.54974156455079,4.189,
1756273267784353,102.63685463731925,4.189,
1756273267784354,97.84877170567397,4.1930000000000005,
1756273267784354,71.69847261745745,4.19425,
1756273267784355,67.64701782914223,4.19275,
1756273267784355,68.13810325802892,4.19125,
1756273267784356,69.85690225913235,4.192,
1756273267784356,68.62918868691561,4.19125,
1756273267784357,69.85690225913235,4.19375,
1756273267784357,68.99750275858064,4.19425,
1756273267784358,68.87473140135896,4.19575,
1756273267784358,68.38364597247227,4.19375,
1756273267784359,70.47075904524073,4.195,
1756273267784359,61.87676403972356,4.19375,
1756273267784360,57.57976653696498,4.1905,
1756273267784361,58.70342955112219,4.19275,
1756273267784361,57.57976653696498,4.19375,
1756273267784362,57.82530925140833,4.1925,
1756273267784362,58.4391660375167,4.19375,
1756273267784363,56.96590975085661,4.1935,
1756273267784363,97.2349149195656,4.1925,
1756273267784364,62.49062082583193,4.194,
1756273267784364,59.54410825251176,4.19075,
1756273267784365,59.54410825251176,4.1925,
1756273267784365,59.91242232417678,4.19525,
1756273267784366,59.78965096695511,4.194,
1756273267784366,63.22724896916197,4.19075,
1756273267784367,78.9419826935362,4.1905,
1756273267784367,82.7478947674081,4.18975,
1756273267784368,91.34188977292526,4.18875,
1756273267784368,88.64091991404844,4.19125,
1756273267784369,63.1044776119403,4.19275,
1756273267784369,58.56193739473837,4.1945,
1756273267784370,60.40350775306348,4.19425,
1756273267784370,58.784420600285,4.192,
1756273267784371,57.82530925140833,4.191,
1756273267784371,58.24075654613466,4.19075,
1756273267784372,58.93025146640339,4.1905,
1756273267784372,57.702537894186655,4.1930000000000005,
1756273267784373,58.316394680295026,4.195,
1756273267784373,57.334223822521636,4.19525,
1756273267784374,57.702537894186655,4.196,
1756273267784374,57.334223822521636,4.191,
1756273267784375,58.316394680295026,4.19025,
1756273267784376,57.57976653696498,4.19025,
1756273267784376,58.80748010918172,4.1925,
1756273267784377,59.42133689529009,4.194,
1756273267784377,65.68267611359545,4.1925,
1756273267784378,82.01126662407805,4.1925,
1756273267784378,82.99343748185144,4.1915000000000004,
1756273267784379,65.4371333991521,4.19375,
1756273267784379,57.57976653696498,4.19125,
1756273267784380,57.57976653696498,4.1925,
1756273267784380,58.760216378696114,4.19325,
1756273267784381,58.230516298539364,4.1930000000000005,
1756273267784381,58.81607227467046,4.1930000000000005,
1756273267784382,57.6235488956181,4.19275,
1756273267784382,57.339614757748485,4.18825,
1756273267784383,56.96631118631991,4.19,
1756273267784383,58.18862437655861,4.1930000000000005,
1756273267784384,58.812348548272176,4.19525,
1756273267784384,56.96590975085661,4.1925,
1756273267784385,57.09012508906306,4.1915000000000004,
1756273267784385,57.54721250445315,4.1945,
1756273267784386,58.75183799429996,4.19375,
1756273267784386,58.52934534200214,4.194,
1756273267784387,58.24541120413253,4.19525,
1756273267784387,57.08868110807828,4.19275,
1756273267784388,58.85982605985038,4.19375,
1756273267784388,58.72856470431065,4.192,
1756273267784389,62.613392183053605,4.19375,
1756273267784390,68.01533190080725,4.1935,
1756273267784390,68.87473140135896,4.1922500000000005,
1756273267784391,68.99750275858064,4.188,
1756273267784391,78.9419826935362,4.1915000000000004,
1756273267784392,79.80138219408792,4.1905,
1756273267784392,79.9241535513096,4.1922500000000005,
1756273267784393,85.69440734072826,4.1895,
1756273267784393,93.42900284569372,4.192,
1756273267784394,93.06068877402869,4.191,
1756273267784394,94.16563098902375,4.18875,
1756273267784395,96.37551541901388,4.18925,
1756273267784395,95.63888727568384,4.191,
1756273267784396,97.11214356234392,4.189,
1756273267784396,96.2527440617922,4.1895,
1756273267784397,89.37754805737848,4.191,
1756273267784397,69.12027411580232,4.19275,
1756273267784398,66.54207561414717,4.1935,
1756273267784398,67.2787037574772,4.195,
1756273267784399,65.80544747081711,4.1915000000000004,
1756273267784400,66.54207561414717,4.1930000000000005,
1756273267784400,68.13810325802892,4.1925,
1756273267784401,66.17376154248214,4.1935,
1756273267784401,64.82327661304373,4.19425,
1756273267784402,56.83970448877806,4.19375,
1756273267784402,56.34165608300677,4.19325,
1756273267784403,57.792047515140716,4.19325,
1756273267784403,63.35002032638364,4.194,
1756273267784404,68.62918868691561,4.1905,
1756273267784404,67.7697891863639,4.19175,
1756273267784405,69.85690225913235,4.191,
1756273267784405,74.15389976189094,4.1905,
1756273267784406,79.55583947964458,4.19325,
1756273267784406,79.67861083686626,4.19275,
1756273267784407,81.15186712352634,4.19075,
1756273267784407,74.7677565479993,4.19125,
1756273267784408,72.31232940356583,4.192,
1756273267784408,60.7718218247285,4.19175,
1756273267784409,56.47482432196992,4.19175,
1756273267784410,58.249134930530815,4.194,
1756273267809952,57.211452465299956,4.19175,
1756273267809957,58.07085196585167,4.19075,
1756273267809958,57.57976653696498,4.19,
1756273267809958,58.491177146419666,4.19375,
1756273267809959,57.11432931065194,4.191,
1756273267809960,56.06703126113288,4.19525,
1756273267809960,57.67847385999288,4.19425,
1756273267809961,57.923308870680444,4.19425,
1756273267809962,57.10967465265408,4.19325,
1756273267809962,57.06405900427502,4.19075,
1756273267809963,57.47273797648735,4.194,
1756273267809964,56.88997479515497,4.1905,
1756273267809964,56.6386232632704,4.1915000000000004,
1756273267809965,58.71925538831492,4.19425,
1756273267809966,57.81811359992875,4.1930000000000005,
1756273267809966,57.89258812789455,4.19125,
1756273267809967,58.83469090666192,4.19125,
1756273267809968,58.93025146640339,4.19125,
1756273267809968,57.99405967224795,4.19075,
1756273267809969,58.48559155682223,4.192,
1756273267809970,58.62430036515853,4.196,
1756273267809970,57.08868110807828,4.19425,
1756273267809971,58.7267028411115,4.19075,
1756273267809972,58.684708751960045,4.1915000000000004,
1756273267809972,57.087332294264336,4.19275,
1756273267809973,56.32303745101532,4.1922500000000005,
1756273267809974,56.844359146775915,4.19075,
1756273267809974,58.03688252582829,4.1955,
1756273267809975,57.15901402743142,4.191,
1756273267809975,56.67679145885287,4.192,
1756273267809976,58.02664227823299,4.1895,
1756273267809977,69.73413090191067,4.18175,
1756273267809977,137.99500551716127,4.1905,
1756273267809978,65.68267611359545,4.1922500000000005,
1756273267809979,63.47279168360532,4.1915000000000004,
1756273267809979,62.49062082583193,4.195,
1756273267809980,71.0846158313491,4.18725,
1756273267809981,120.92978686334862,4.1905,
1756273267809981,77.46872640687613,4.192,
1756273267809982,74.89052790522098,4.1915000000000004,
1756273267809982,71.20738718857076,4.1925,
1756273267809983,79.80138219408792,4.1925,
1756273267809984,84.71223648295488,4.19075,
1756273267809984,89.99140484348685,4.1915000000000004,
1756273267809985,92.93791741680701,4.18975,
1756273267809986,92.20128927347697,4.1895,
1756273267809986,99.19925663511238,4.19,
1756273267809995,115.40507578837331,4.18675,
1756273267809995,117.86050293280678,4.1865,
1756273267809996,116.8783320750334,4.191,
1756273267809997,113.44073407282653,4.187,
1756273267809997,115.65061850281666,4.1845,
1756273267809998,160.70770660317092,4.1857500000000005,
1756273267809999,161.93542017538766,4.18525,
1756273267809999,150.76322666821534,4.184,
1756273267810000,223.93495557233288,4.18325,
1756273267810001,198.64405598466809,4.19,
1756273267810001,133.82077937162435,4.18675,
1756273267810002,125.34955572332888,4.18625,
1756273267810003,125.47232708055056,4.18925,
1756273267810003,111.47639235727975,4.188,
1756273267810004,110.61699285672803,4.19025,
1756273267810005,114.30013357337825,4.191,
1756273267810005,113.93181950171322,4.18775,
1756273267810006,126.70004065276729,4.18825,
1756273267810006,146.58900052267845,4.1885,
1756273267810007,149.78105581044196,4.191,
1756273267810008,142.6603170915849,4.18525,
1756273267810008,155.91962367152564,4.188,
1756273267810009,140.94151809048145,4.18825,
1756273267810010,135.0484929438411,4.19125,
1756273267810010,133.45246529995936,4.18675,
1756273267810011,133.206922585516,4.1857500000000005,
1756273267810012,141.5553748765898,4.187,
1756273267810012,131.48812358441256,4.19075,
1756273267810013,125.96341250943725,4.188,
1756273267810014,127.80498286776236,4.1875,
1756273267810014,124.12184215111215,4.18875,
1756273267810015,124.73569893722052,4.18975,
1756273267810016,123.26244265056043,4.1885,
1756273267810016,124.73569893722052,4.19,
1756273267810017,125.59509843777222,4.18875,
1756273267810018,124.24461350833381,4.18675,
1756273267810018,128.66438236831408,4.1885,
1756273267810019,123.13967129333875,4.19075,
1756273267810019,123.50798536500378,4.18875,
1756273267810020,123.50798536500378,4.187,
1756273267810021,142.29200301991986,4.18875,
1756273267810021,137.99500551716127,4.18825,
1756273267810022,126.70004065276729,4.18875,
1756273267810023,129.27823915442244,4.189,
1756273267810024,128.66438236831408,4.1842500000000005,
1756273267810024,155.55130959986062,4.1905,
1756273267810025,125.7178697949939,4.18975,
1756273267810026,117.12387478947674,4.192,
1756273267810026,126.2089552238806,4.18925,
1756273267810027,137.74946280271791,4.189,
1756273267810027,130.8742667983042,4.18875,
1756273267810028,117.86050293280678,4.189,
1756273267810029,126.57726929554562,4.18775,
1756273267810029,140.57320401881643,4.1885,
1756273267810030,138.11777687438294,4.19,
1756273267810031,120.5614727916836,4.18825,
1756273267810031,113.68627678726988,4.188,
1756273267810032,113.93181950171322,4.191,
1756273267810033,113.0724200011615,4.1895,
1756273267810033,112.21302050060979,4.1885,
1756273267810034,112.45856321505313,4.194,
1756273267810035,113.80904814449156,4.19,
1756273267810035,114.42290493059991,4.1875,
1756273267810036,129.76932458330913,4.189,
1756273267810037,136.89006330216623,4.1905,
1756273267810037,119.33375921946687,4.18875,
